caller,receiver,call_time,duration_seconds,tower_id,latitude,longitude
Ahmed Khan,Tariq Mehmood,2026-04-12T19:42:00,214,TWR-DEL-114,28.6132,77.2091
Ahmed Khan,Sara Malik,2026-04-12T20:05:00,96,TWR-DEL-114,28.6132,77.2091
Sara Malik,Maria Santos,2026-04-12T20:18:00,143,TWR-DEL-118,28.6244,77.2153
Ahmed Khan,Raza Hussain,2026-04-12T20:47:00,388,TWR-DEL-114,28.6132,77.2091
Tariq Mehmood,Sara Malik,2026-04-12T21:02:00,61,TWR-DEL-121,28.6098,77.1976
Ahmed Khan,Tariq Mehmood,2026-04-12T21:19:00,44,TWR-DEL-114,28.6132,77.2091
Sara Malik,Ahmed Khan,2026-04-12T21:28:00,27,TWR-DEL-121,28.6098,77.1976
Tariq Mehmood,Chen Wei,2026-04-12T21:51:00,176,TWR-DEL-121,28.6098,77.1976
Raza Hussain,Chen Wei,2026-04-12T22:14:00,251,TWR-DEL-133,28.6401,77.2210
Ahmed Khan,Sara Malik,2026-04-13T06:12:00,88,TWR-DEL-114,28.6132,77.2091
Maria Santos,Sara Malik,2026-04-13T09:37:00,120,TWR-DEL-118,28.6244,77.2153
Ahmed Khan,Chen Wei,2026-04-13T11:05:00,402,TWR-DEL-114,28.6132,77.2091
