entity_name,latitude,longitude,timestamp
Ahmed Khan,28.6132,77.2091,2026-04-12T19:40:00
Ahmed Khan,28.6118,77.2044,2026-04-12T20:44:00
Sara Malik,28.6244,77.2153,2026-04-12T20:16:00
Sara Malik,28.6101,77.1998,2026-04-12T21:21:00
Tariq Mehmood,28.6098,77.1976,2026-04-12T21:01:00
Tariq Mehmood,28.6103,77.2002,2026-04-12T21:30:00
Maria Santos,28.6244,77.2153,2026-04-12T20:20:00
Raza Hussain,28.6401,77.2210,2026-04-12T22:12:00
Chen Wei,28.6455,77.2288,2026-04-12T22:16:00
Ahmed Khan,28.6132,77.2091,2026-04-13T06:10:00
